Longitude;Latitude;Description;Label;DateTime;marker-color
37.481558;55.880046;Возможно появилось топливо;Газпромнефть;20.06.2026 12:00:00;#169a7a
30.406418;59.960543;Отказ в заправке;Газпромнефть;20.06.2026 00:00:00;#e74c3c
37.264055;55.980020;Возможно появилось топливо;Газпромнефть;20.06.2026 12:00:00;#169a7a
37.328505;55.876509;Возможно появилось топливо;Татнефть;20.06.2026 12:00:00;#169a7a
37.503630;55.83629;Возможно появилось топливо;Газпромнефть;21.06.2026 12:00:00;#169a7a
37.892035;55.967169;Возможно появилось топливо;Газпромнефть;21.06.2026 12:00:00;#169a7a
37.944433;55.965184;Возможно появилось топливо;Татнефть;21.06.2026 12:00:00;#169a7a
37.830271;56.004622;Возможно появилось топливо;Газпромнефть;21.06.2026 12:00:00;#169a7a
37.876179;55.994114;Возможно появилось топливо;Татнефть;21.06.2026 12:00:00;#169a7a
37.494530;55.751690;Возможно появилось топливо;Газпромнефть;21.06.2026 12:00:00;#169a7a
37.782647;55.454734;Возможно появилось топливо;Татнефть;21.06.2026 12:00:00;#169a7a
37.674229;55.849944;Возможно появилось топливо;Газпромнефть;21.06.2026 12:00:00;#169a7a
37.610410;55.501940;Возможно появилось топливо;Татнефть;22.06.2026 12:00:00;#169a7a
37.542222;55.863454;Возможно появилось топливо;Газпромнефть;22.06.2026 12:00:00;#169a7a
37.528181;55.874647;Возможно появилось топливо;Газпромнефть;22.06.2026 12:00:00;#169a7a
37.525971;55.895822;Возможно появилось топливо;Газпромнефть;22.06.2026 12:00:00;#169a7a
37.782051;55.814880;Возможно появилось топливо;Татнефть;22.06.2026 12:00:00;#169a7a
38.054162;55.750802;Возможно появилось топливо;Татнефть;22.06.2026 12:00:00;#169a7a
37.697370;55.778558;Возможно появилось топливо;Газпромнефть;23.06.2026 12:00:00;#169a7a
38.039859;55.621345;Возможно появилось топливо;Татнефть;23.06.2026 12:00:00;#169a7a
38.160222;55.488570;Возможно появилось топливо;Татнефть;23.06.2026 12:00:00;#169a7a
38.486250;55.446300;Возможно появилось топливо;Татнефть;23.06.2026 12:00:00;#169a7a
37.468533;55.632291;Возможно появилось топливо;Газпромнефть;23.06.2026 12:00:00;#169a7a
37.441472;55.654792;Возможно появилось топливо;Газпромнефть;23.06.2026 12:00:00;#169a7a
30.250614;60.025345;Ограничение в 200 л;Газпромнефть;24.06.2026 00:00:00;#f1c40f
37.698484;55.798328;Отказ в заправке;Газпромнефть;24.06.2026 00:00:00;#e74c3c
37.556568;55.561634;Ограничение в 30 л;Газпромнефть;24.06.2026 00:00:00;#f1c40f
37.560961;55.570696;Возможно появилось топливо;Газпромнефть;24.06.2026 12:00:00;#169a7a
37.572962;55.580248;Возможно появилось топливо;Газпромнефть ;24.06.2026 12:00:00;#169a7a
30.496052;59.835387;Доступна к заправке;Татнефть ;24.06.2026 11:45:00;#00ff00
30.325678;59.816482;Доступна к заправке;Газпромнефть;24.06.2026 12:57:00;#00ff00
37.744160;55.582743;Возможно появилось топливо;Татнефть ;25.06.2026 21:56:00;#169a7a
37.523662;55.755105;Возможно появилось топливо;Татнефть ;25.06.2026 23:56:00;#169a7a
37.407061;55.764283;Возможно появилось топливо;Татнефть ;26.06.2026 01:26:00;#169a7a
37.404258;55.767382;Возможно появилось топливо;Газпромнефть;26.06.2026 01:27:00;#169a7a
37.471937;55.626762;Ограничение в 30 л;Газпромнефть;25.06.2026 13:28:00;#f1c40f
37.381711;55.724327;Возможно появилось топливо;Газпромнефть;26.06.2026 01:41:00;#169a7a
37.214301;55.636839;Возможно появилось топливо;Татнефть ;26.06.2026 01:56:00;#169a7a
37.295931;55.656500;Ограничение в 30 л;Газпромнефть;25.06.2026 14:26:00;#f1c40f
37.588943;55.613265;Возможно появилось топливо;Газпромнефть ;26.06.2026 13:10:00;#169a7a
30.125614;59.835885;Возможно появилось топливо;Газпромнефть ;26.06.2026 14:24:00;#169a7a
30.202734;59.857247;Ограничение в 240 л;Газпромнефть ;26.06.2026 04:35:00;#f1c40f
37.673960;55.885617;Возможно появилось топливо;Газпромнефть;26.06.2026 21:48:00;#169a7a
37.852069;55.653517;Возможно появилось топливо;Газпромнефть ;26.06.2026 22:42:00;#169a7a
30.362832;60.032731;Возможно появилось топливо;Татнефть ;27.06.2026 02:16:00;#169a7a
37.614342;55.615781;Возможно появилось топливо;Газпромнефть;27.06.2026 03:30:00;#169a7a
30.248880;59.868432;Отказ в заправке;Газпромнефть ;26.06.2026 15:55:00;#e74c3c
30.435732;59.952780;Возможно появилось топливо;Татнефть ;27.06.2026 08:14:00;#169a7a
37.674579;55.546995;Возможно появилось топливо;Татнефть ;27.06.2026 08:15:00;#169a7a
37.431846;55.750697;Возможно появилось топливо;Татнефть ;27.06.2026 08:17:00;#169a7a
